ID,Name,Club,ClassName,StartOrder,Discipline,Team,Team_Category,Guest,flight,photo_consent
10134,Derbiled Áed,DCU,Novice Women,20,TRI,,,0,1.0,1
10304,Anwar Fateh,MU,Novice Men,12,TRI,,,0,1.0,1
10403,Karpos Pankratios,QUB,Intermediate Men,1,TRI,,,0,1.0,1
10999,Sören Shiva,TCD,Intervanced Men,45,TRI,A,,0,,1
11568,Yolotzin Thibaut,UCC,Intermediate Women,65,TRI,,,0,,1
11783,Aäron Óscar,UCD,Advanced Men,42,TRI,,,0,1.0,1
11900,Brianne Hagano,UL,Intervanced Women,76,TRI,,,0,1.0,1
12483,Désirée Godofredo,TCD,Advanced Women,10,TRI,A,,0,1.0,1
12702,Bjoern Pierrick,UCC,Elite Men,23,TRI,,,0,,1
12881,Shoshanna Assol,UL,Elite Women,32,TRI,,,0,1.0,1
12969,Akma 2,TCD,Elite-Pro Men,69,TRI,A,,1,1.0,1
12977,Echo Longray,TCD,Elite-Pro Women,99,TRI,A,,0,1.0,1
