ID,Name,Club,ClassName,StartOrder,Discipline,Team,Team_Category,Guest,flight,photo_consent
10134.0,Derbiled Áed,DCU,Novice Women,20.0,TRI,,,False,1.0,True
10304.0,Anwar Fateh,MU,Novice Men,12.0,TRI,,,False,1.0,True
10403.0,Karpos Pankratios,QUB,Intermediate Men,1.0,TRI,,,False,1.0,True
10999.0,Sören Shiva,TCD,Intervanced Men,45.0,TRI,A,,False,,True
11568.0,Yolotzin Thibaut,UCC,Intermediate Women,65.0,TRI,,,False,,True
11783.0,Aäron Óscar,UCD,Advanced Men,42.0,TRI,,,False,1.0,True
11900.0,Brianne Hagano,UL,Intervanced Women,76.0,TRI,,,False,1.0,True
12483.0,Désirée Godofredo,TCD,Advanced Women,10.0,TRI,A,,False,1.0,True
12702.0,Bjoern Pierrick,UCC,Elite Men,23.0,TRI,,,False,,True
12881.0,Shoshanna Assol,UL,Elite Women,32.0,TRI,,,False,1.0,True
12969.0,Akma 2,TCD,Elite-Pro Men,69.0,TRI,A,,True,1.0,True
12977.0,Echo Longray,TCD,Elite-Pro Women,99.0,TRI,A,,False,1.0,True
12999.0,Antwerp Flazgod,Exeter,Novice Men,2.0,TRI,,,False,,True
13001.0,Antwerp Flazgod,DCU,Novice Men,3.0,TRI,,,False,1.0,True
13005.0,Derbiled Áed,DCU,DMT Level 1,33.0,DMT,,,False,,True
13010.0,Anwar Fateh,MU,DMT Level 4,23.0,DMT,,,False,,True
13020.0,Karpos Pankratios,QUB,DMT Level 6,29.0,DMT,,,False,1.0,True
13025.0,Sören Shiva,TCD,DMT Level 2,21.0,DMT,,,False,1.0,True
13029.0,Yolotzin Thibaut,UCC,DMT Level 5,14.0,DMT,,,False,1.0,True
13040.0,Bjoern Pierrick,UCC,DMT Level 3,2.0,DMT,,,False,,True
13045.0,Shoshanna Assol,UL,Tumbling Level 2,99.0,TUM,,,False,,True
13048.0,Akma 2,TCD,Tumbling Level 4,14.0,TUM,,,True,2.0,True
13052.0,Echo Longray,TCD,Tumbling Level 3,11.0,TUM,,,False,2.0,True
13055.0,Antwerp Flazgod,Exeter,Tumbling Level 1,5.0,TUM,,,False,2.0,True
13056.0,Lirana Willowshade,UCC,Intervanced Women,37.0,TRI,,,True,,True
,Test1,UCC,Novice Men,,TRI,,,,,
,Test2,TCD,Novice Men,,TRI,,,,,
,Test3,DCU,Novice Men,,TRI,,,,,
,Test4,TCD,Novice Men,,TRI,,,,,
,Test5,TCD,Novice Men,,TRI,,,,,
,Test6,UCD,Novice Men,,TRI,,,,,
,Test7,UCD,Novice Men,,TRI,,,,,
,Test8,UL,Novice Men,,TRI,,,,,
,Test9,UCC,Novice Men,,TRI,,,,,
,Test10,UCD,Novice Men,,TRI,,,,,
,TEst11,UCC,Novice Men,,TRI,,,,,
,Test12,UCD,Novice Men,,TRI,,,,,
,Test13,MU,Novice Men,,TRI,,,,,
,Test14,TCD,Novice Men,,TRI,,,,,
,Test15,DCU,Novice Men,,TRI,,,,,
,Test1,UCC,Intermediate Men,,TRI,,,,,
,Test2,TCD,Intermediate Men,,TRI,,,,,
,Test3,DCU,Intermediate Men,,TRI,,,,,
,Test4,TCD,Intermediate Men,,TRI,,,,,
,Test5,TCD,Intermediate Men,,TRI,,,,,
,Test6,UCD,Intermediate Men,,TRI,,,,,
,Test7,UCD,Intermediate Men,,TRI,,,,,
,Test8,UL,Intermediate Men,,TRI,,,,,
,Test9,UCC,Intermediate Men,,TRI,,,,,
,Test10,UCD,Intermediate Men,,TRI,,,,,
,TEst11,UCC,Intermediate Men,,TRI,,,,,
,Test12,UCD,Intermediate Men,,TRI,,,,,
,Test13,UCC,Intermediate Men,,TRI,,,,,
,Test14,TCD,Intermediate Men,,TRI,,,,,
,Test15,DCU,Intermediate Men,,TRI,,,,,
,Test16,TCD,Intermediate Men,,TRI,,,,,
,Test17,TCD,Intermediate Men,,TRI,,,,,
,Test18,UCD,Intermediate Men,,TRI,,,,,
,Test19,UCD,Intermediate Men,,TRI,,,,,
,Test20,UL,Intermediate Men,,TRI,,,,,
,Test21,UCC,Intermediate Men,,TRI,,,,,
,Test22,UCD,Intermediate Men,,TRI,,,,,
,TEst23,UCC,Intermediate Men,,TRI,,,,,
,Test24,UCD,Intermediate Men,,TRI,,,,,
,Test25,MU,Intermediate Men,,TRI,,,,,
,Test26,TCD,Intermediate Men,,TRI,,,,,
,Test27,DCU,Intermediate Men,,TRI,,,,,
,Test1,UCC,Novice Women,,TRI,,,,,
,Test2,TCD,Novice Women,,TRI,,,,,
,Test3,DCU,Novice Women,,TRI,,,,,
,Test4,TCD,Novice Women,,TRI,,,,,
,Test5,TCD,Novice Women,,TRI,,,,,
,Test6,UCD,Novice Women,,TRI,,,,,
,Test7,UCD,Novice Women,,TRI,,,,,
,Test8,UL,Novice Women,,TRI,,,,,
,Test9,UCC,Novice Women,,TRI,,,,,
,Test10,UCD,Novice Women,,TRI,,,,,
,TEst11,UCC,Novice Women,,TRI,,,,,
,Test12,UCD,Novice Women,,TRI,,,,,
,Test13,MU,Novice Women,,TRI,,,,,
,Test14,TCD,Novice Women,,TRI,,,,,
,Test15,TCD,Novice Women,,TRI,,,,,
